posicao_risco,id_municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,risco_previsto,meta_alfabetizacao_2024,gap_meta_2024,gap_meta_2026,risco_de_perder_meta_2024,situacao_historico,em_treino
5089,5103957,MT,Centro-Oeste,49,0.8264409,0.8367346938775511,0.17355913,80.0,2.6440887451171875,2.6440887451171875,False,completo,True
5090,5212253,GO,Centro-Oeste,21,0.8265389,0.7619047619047619,0.17346108,80.0,2.6538925170898438,2.6538925170898438,False,completo,True
5091,2203602,PI,Nordeste,41,0.8266391,0.6585365853658537,0.17336088,80.0,2.663909912109375,2.663909912109375,False,completo,False
5092,2708303,AL,Nordeste,171,0.82671726,0.9532163742690059,0.17328274,79.33,3.3417224121093767,3.1117224121093727,False,completo,True
5093,3201902,ES,Sudeste,382,0.82680637,0.8219895287958116,0.17319363,80.0,2.680633544921875,2.680633544921875,False,completo,True
5094,5204557,GO,Centro-Oeste,46,0.82688147,0.6086956521739131,0.17311853,73.27,9.41814849853516,7.02814849853516,False,completo,False
5095,5220157,GO,Centro-Oeste,64,0.8270574,0.859375,0.17294258,76.07,6.635741882324226,5.275741882324212,False,completo,True
5096,3546108,SP,Sudeste,26,0.82709163,1.0,0.17290837,80.0,2.7091598510742188,2.7091598510742188,False,parcial,True
5097,2203453,PI,Nordeste,55,0.8271727,0.8727272727272727,0.1728273,80.0,2.7172698974609375,2.7172698974609375,False,completo,True
5098,2104099,MA,Nordeste,198,0.8271884,0.8434343434343434,0.17281163,80.0,2.7188339233398438,2.7188339233398438,False,completo,True
5099,3504701,SP,Sudeste,10,0.8271886,1.0,0.17281139,80.0,2.7188644409179688,2.7188644409179688,False,parcial,True
5100,2105948,MA,Nordeste,78,0.8273468,0.9230769230769231,0.1726532,80.0,2.73468017578125,2.73468017578125,False,completo,True
5101,3202900,ES,Sudeste,81,0.827559,0.8148148148148148,0.172441,78.33,4.425897521972658,3.8558975219726506,False,completo,False
5102,4120150,PR,Sul,28,0.82758534,0.8571428571428571,0.17241466,80.0,2.7585372924804688,2.7585372924804688,False,completo,True
5103,5207253,GO,Centro-Oeste,72,0.82761604,0.8333333333333334,0.17238396,78.47,4.291604309082032,3.7716043090820364,False,completo,True
5104,5213400,GO,Centro-Oeste,13,0.827663,0.8461538461538461,0.172337,,,2.7663040161132812,False,completo,True
5105,4116059,PR,Sul,136,0.8277086,0.8308823529411765,0.1722914,80.0,2.7708587646484375,2.7708587646484375,False,completo,True
5106,5107750,MT,Centro-Oeste,38,0.82772976,0.9736842105263158,0.17227024,80.0,2.772979736328125,2.772979736328125,False,completo,True
5107,3103702,MG,Sudeste,59,0.8278871,0.9322033898305084,0.17211288,52.43,30.358711547851563,19.918711547851565,False,completo,True
5108,3120607,MG,Sudeste,52,0.8280292,0.9038461538461539,0.17197078,80.0,2.8029251098632812,2.8029251098632812,False,completo,True
5109,2106375,MA,Nordeste,122,0.82805204,0.9754098360655737,0.17194796,76.95,5.855206298828122,4.805206298828125,False,completo,True
5110,4124509,PR,Sul,86,0.82823414,0.8023255813953488,0.17176586,80.0,2.8234100341796875,2.8234100341796875,False,completo,True
5111,3158805,MG,Sudeste,45,0.828268,0.8666666666666667,0.17173201,76.82,6.006797485351569,4.906797485351561,False,completo,True
5112,3146602,MG,Sudeste,14,0.82830054,0.9285714285714286,0.17169946,80.0,2.8300552368164062,2.8300552368164062,False,completo,True
5113,3121001,MG,Sudeste,72,0.82858264,0.9027777777777778,0.17141736,80.0,2.8582611083984375,2.8582611083984375,False,completo,True
5114,4126405,PR,Sul,65,0.8287519,0.9076923076923077,0.17124808,80.0,2.8751907348632812,2.8751907348632812,False,completo,True
5115,5210000,GO,Centro-Oeste,505,0.8289198,0.8772277227722772,0.17108017,80.0,2.8919830322265625,2.8919830322265625,False,completo,False
5116,5204300,GO,Centro-Oeste,118,0.82902855,0.9152542372881356,0.17097145,74.28,8.622854919433593,6.602854919433597,False,completo,True
5117,5210208,GO,Centro-Oeste,364,0.829045,0.8324175824175825,0.170955,78.6,4.304502868652349,3.8345028686523506,False,completo,True
5118,3165008,MG,Sudeste,94,0.8290679,0.925531914893617,0.17093211,80.0,2.9067916870117188,2.9067916870117188,False,completo,False
5119,3165206,MG,Sudeste,71,0.8292691,0.9014084507042254,0.17073089,80.0,2.926910400390625,2.926910400390625,False,completo,True
5120,2301851,CE,Nordeste,239,0.82939917,0.7615062761506276,0.17060083,80.0,2.9399185180664062,2.9399185180664062,False,completo,True
5121,2511004,PB,Nordeste,40,0.82946527,0.7,0.17053473,80.0,2.9465255737304688,2.9465255737304688,False,completo,True
5122,3114709,MG,Sudeste,29,0.8297315,1.0,0.17026848,77.41,5.563152160644535,4.673152160644534,False,completo,False
5123,2302404,CE,Nordeste,396,0.82973975,0.9040404040404041,0.17026025,80.0,2.9739761352539062,2.9739761352539062,False,completo,True
5124,3103108,MG,Sudeste,15,0.8297546,0.8666666666666667,0.17024541,78.78,4.195456237792968,3.785456237792971,False,completo,True
5125,3103009,MG,Sudeste,64,0.82978076,0.84375,0.17021924,,,,False,completo,True
5126,3530201,SP,Sudeste,116,0.8298894,0.8793103448275862,0.17011058,80.0,2.9889450073242188,2.9889450073242188,False,parcial,False
5127,2210631,PI,Nordeste,52,0.8299195,0.7692307692307693,0.17008048,80.0,2.9919509887695312,2.9919509887695312,False,completo,True
5128,3203908,ES,Sudeste,505,0.82993346,0.8356435643564356,0.17006654,80.0,2.99334716796875,2.99334716796875,False,completo,True
5129,3120805,MG,Sudeste,137,0.8299617,0.7591240875912408,0.17003828,80.0,2.9961700439453125,2.9961700439453125,False,completo,True
5130,5220686,GO,Centro-Oeste,64,0.8299888,0.78125,0.17001122,80.0,2.9988784790039062,2.9988784790039062,False,completo,True
5131,2516904,PB,Nordeste,124,0.8300111,0.45161290322580644,0.16998887,80.0,3.0011138916015625,3.0011138916015625,False,completo,False
5132,2501104,PB,Nordeste,212,0.83029145,0.9056603773584906,0.16970855,80.0,3.029144287109375,3.029144287109375,False,completo,False
5133,3116704,MG,Sudeste,77,0.8304555,0.8311688311688312,0.16954452,77.38,5.665547485351567,4.765547485351561,False,completo,True
5134,3117702,MG,Sudeste,129,0.831393,0.7829457364341085,0.168607,80.0,3.1392974853515625,3.1392974853515625,False,completo,True
5135,4114203,PR,Sul,410,0.83141124,0.8170731707317073,0.16858876,80.0,3.1411209106445312,3.1411209106445312,False,completo,True
5136,2700904,AL,Nordeste,90,0.83149576,0.9888888888888889,0.16850424,80.0,3.1495742797851562,3.1495742797851562,False,completo,True
5137,4126355,PR,Sul,52,0.83162105,0.8269230769230769,0.16837895,80.0,3.1621017456054688,3.1621017456054688,False,completo,True
5138,4111100,PR,Sul,63,0.831795,0.873015873015873,0.16820502,80.0,3.1794967651367188,3.1794967651367188,False,completo,True
5139,2100808,MA,Nordeste,109,0.83186525,0.3394495412844037,0.16813475,80.0,3.1865234375,3.1865234375,False,completo,False
5140,5205208,GO,Centro-Oeste,55,0.83212245,0.8727272727272727,0.16787755,70.26,12.952242126464839,9.412242126464847,False,completo,True
5141,3103801,MG,Sudeste,26,0.8322824,0.9230769230769231,0.16771758,80.0,3.228240966796875,3.228240966796875,False,completo,True
5142,4123303,PR,Sul,107,0.8325836,0.5794392523364486,0.1674164,80.0,3.25836181640625,3.25836181640625,False,completo,False
5143,4123204,PR,Sul,35,0.8327402,0.8,0.16725981,80.0,3.274017333984375,3.274017333984375,False,completo,True
5144,3100401,MG,Sudeste,25,0.83277094,0.72,0.16722906,80.0,3.2770919799804688,3.2770919799804688,False,completo,True
5145,3166204,MG,Sudeste,83,0.8331022,0.8072289156626506,0.16689777,80.0,3.3102264404296875,3.3102264404296875,False,completo,True
5146,3104106,MG,Sudeste,56,0.83338326,0.8392857142857143,0.16661674,80.0,3.3383255004882812,3.3383255004882812,False,completo,True
5147,3204609,ES,Sudeste,235,0.8334809,0.825531914893617,0.1665191,80.0,3.3480911254882812,3.3480911254882812,False,completo,True
5148,4106852,PR,Sul,36,0.8335215,0.9444444444444444,0.16647851,80.0,3.3521499633789062,3.3521499633789062,False,completo,True
5149,5200829,GO,Centro-Oeste,39,0.83360714,0.8974358974358975,0.16639286,80.0,3.3607101440429688,3.3607101440429688,False,completo,True
5150,3147956,MG,Sudeste,60,0.83396345,0.85,0.16603655,77.38,6.016347045898442,5.116347045898436,False,completo,False
5151,3106507,MG,Sudeste,55,0.8342114,0.8909090909090909,0.16578859,,,,False,completo,True
5152,3521606,SP,Sudeste,47,0.834276,0.9574468085106383,0.16572398,80.0,3.4276046752929688,3.4276046752929688,False,parcial,True
5153,5216007,GO,Centro-Oeste,32,0.8342838,0.84375,0.16571617,76.04,7.38838287353515,6.0083828735351545,False,completo,False
5154,3115805,MG,Sudeste,96,0.83471507,0.9166666666666666,0.16528493,78.54,4.931504211425775,4.431504211425775,False,completo,True
5155,3520806,SP,Sudeste,39,0.8348506,0.9487179487179487,0.16514939,80.0,3.4850616455078125,3.4850616455078125,False,parcial,True
5156,3167905,MG,Sudeste,44,0.83499044,0.75,0.16500956,80.0,3.4990463256835938,3.4990463256835938,False,completo,True
5157,4127205,PR,Sul,217,0.83511573,0.8940092165898618,0.16488427,80.0,3.5115737915039062,3.5115737915039062,False,completo,True
5158,5213004,GO,Centro-Oeste,118,0.8352015,0.8389830508474576,0.1647985,78.69,4.8301492309570335,4.390149230957036,False,completo,True
5159,3507407,SP,Sudeste,118,0.8352562,0.8559322033898306,0.16474378,80.0,3.5256195068359375,3.5256195068359375,False,parcial,True
5160,3532504,SP,Sudeste,78,0.8353406,0.7435897435897436,0.16465938,80.0,3.5340652465820312,3.5340652465820312,False,parcial,False
5161,4110656,PR,Sul,27,0.83546054,0.8518518518518519,0.16453946,80.0,3.546051025390625,3.546051025390625,False,completo,True
5162,2309102,CE,Nordeste,108,0.83560795,0.8888888888888888,0.16439205,80.0,3.560791015625,3.560791015625,False,completo,False
5163,3203601,ES,Sudeste,69,0.8357689,0.8405797101449275,0.16423112,80.0,3.5768890380859375,3.5768890380859375,False,completo,True
5164,2307650,CE,Nordeste,3110,0.8360712,0.8463022508038586,0.1639288,80.0,3.60711669921875,3.60711669921875,False,completo,True
5165,4123600,PR,Sul,15,0.83628356,1.0,0.16371644,80.0,3.62835693359375,3.62835693359375,False,completo,True
