id_municipio,uf,regiao,cluster,segmento
1703701,TO,Norte,0,0
1703800,TO,Norte,1,3
1703826,TO,Norte,1,3
1703842,TO,Norte,1,2
1703867,TO,Norte,0,1
1703883,TO,Norte,0,0
1703891,TO,Norte,1,3
1703909,TO,Norte,1,3
1704105,TO,Norte,1,3
1704600,TO,Norte,1,0
1705102,TO,Norte,1,3
1705508,TO,Norte,0,1
1705557,TO,Norte,0,0
1705607,TO,Norte,1,3
1706001,TO,Norte,1,3
1706100,TO,Norte,0,0
1706258,TO,Norte,0,0
1706506,TO,Norte,1,3
1707009,TO,Norte,0,0
1707108,TO,Norte,0,0
1707207,TO,Norte,1,2
1707306,TO,Norte,0,0
1707405,TO,Norte,1,3
1707553,TO,Norte,0,0
1707652,TO,Norte,0,0
1707702,TO,Norte,1,3
1708205,TO,Norte,0,0
1708254,TO,Norte,0,0
1708304,TO,Norte,1,3
1709005,TO,Norte,1,2
1709302,TO,Norte,0,1
1709500,TO,Norte,0,1
1709807,TO,Norte,1,0
1710508,TO,Norte,1,2
1710706,TO,Norte,1,3
1710904,TO,Norte,1,0
1711100,TO,Norte,0,0
1711506,TO,Norte,1,0
1711803,TO,Norte,1,3
1711902,TO,Norte,1,2
1711951,TO,Norte,1,3
1712009,TO,Norte,0,0
1712157,TO,Norte,0,0
1712405,TO,Norte,1,3
1712454,TO,Norte,1,3
1712504,TO,Norte,1,3
1712702,TO,Norte,1,3
1712801,TO,Norte,1,3
1713205,TO,Norte,0,0
1713304,TO,Norte,0,0
1713601,TO,Norte,1,3
1713700,TO,Norte,1,0
1713809,TO,Norte,1,3
1713957,TO,Norte,1,3
1714203,TO,Norte,0,0
1714302,TO,Norte,1,3
1714880,TO,Norte,1,3
1715002,TO,Norte,1,3
1715101,TO,Norte,1,3
1715150,TO,Norte,0,0
1715259,TO,Norte,1,3
1715507,TO,Norte,0,0
1715705,TO,Norte,1,3
1715754,TO,Norte,0,0
1716109,TO,Norte,0,1
1716208,TO,Norte,1,2
1716307,TO,Norte,1,3
1716505,TO,Norte,0,0
1716604,TO,Norte,0,0
1716653,TO,Norte,1,3
1716703,TO,Norte,0,0
1717008,TO,Norte,1,3
1717206,TO,Norte,1,3
1717503,TO,Norte,1,3
1717800,TO,Norte,1,3
1717909,TO,Norte,1,3
1718006,TO,Norte,1,3
1718204,TO,Norte,0,1
1718303,TO,Norte,1,3
1718402,TO,Norte,0,0
1718451,TO,Norte,0,0
1718501,TO,Norte,1,3
1718550,TO,Norte,1,3
1718659,TO,Norte,1,3
1718709,TO,Norte,1,3
1718758,TO,Norte,1,3
1718808,TO,Norte,1,3
1718840,TO,Norte,1,0
1718865,TO,Norte,1,3
1718881,TO,Norte,1,0
1718899,TO,Norte,1,0
1718907,TO,Norte,1,3
1719004,TO,Norte,1,0
1720002,TO,Norte,1,3
1720101,TO,Norte,1,3
1720150,TO,Norte,1,3
1720200,TO,Norte,1,3
1720259,TO,Norte,1,3
1720309,TO,Norte,1,3
1720499,TO,Norte,1,3
1720655,TO,Norte,1,3
1720804,TO,Norte,1,3
1720853,TO,Norte,0,0
1720903,TO,Norte,1,3
1720937,TO,Norte,1,3
1720978,TO,Norte,0,0
1721000,TO,Norte,0,1
1721109,TO,Norte,1,2
1721208,TO,Norte,0,3
1721257,TO,Norte,0,0
1721307,TO,Norte,1,3
1722081,TO,Norte,1,3
1722107,TO,Norte,0,3
2100055,MA,Nordeste,1,3
2100105,MA,Nordeste,1,3
2100154,MA,Nordeste,1,3
2100204,MA,Nordeste,1,3
2100303,MA,Nordeste,1,3
2100402,MA,Nordeste,1,2
2100436,MA,Nordeste,1,3
2100477,MA,Nordeste,1,3
2100501,MA,Nordeste,1,2
2100550,MA,Nordeste,1,3
2100600,MA,Nordeste,1,2
2100709,MA,Nordeste,1,2
2100808,MA,Nordeste,1,3
2100832,MA,Nordeste,1,3
2100873,MA,Nordeste,1,2
2100907,MA,Nordeste,1,3
2100956,MA,Nordeste,1,2
2101004,MA,Nordeste,1,3
2101103,MA,Nordeste,1,3
2101202,MA,Nordeste,1,3
2101251,MA,Nordeste,1,3
2101301,MA,Nordeste,1,3
2101350,MA,Nordeste,1,2
2101400,MA,Nordeste,0,0
2101509,MA,Nordeste,1,3
2101608,MA,Nordeste,1,2
2101707,MA,Nordeste,1,3
2101731,MA,Nordeste,1,2
2101772,MA,Nordeste,1,3
2101806,MA,Nordeste,1,3
2101905,MA,Nordeste,1,2
2101939,MA,Nordeste,1,3
2101970,MA,Nordeste,1,3
2102002,MA,Nordeste,1,3
2102036,MA,Nordeste,1,2
2102077,MA,Nordeste,1,3
2102101,MA,Nordeste,1,3
2102150,MA,Nordeste,1,2
2102200,MA,Nordeste,1,3
2102309,MA,Nordeste,1,3
2102325,MA,Nordeste,1,3
2102358,MA,Nordeste,1,3
2102374,MA,Nordeste,1,2
2102408,MA,Nordeste,1,3
2102507,MA,Nordeste,1,2
2102556,MA,Nordeste,1,3
2102606,MA,Nordeste,1,2
2102705,MA,Nordeste,1,2
2102754,MA,Nordeste,1,3
2102804,MA,Nordeste,1,3
2102903,MA,Nordeste,1,3
2103000,MA,Nordeste,1,3
2103109,MA,Nordeste,1,3
2103125,MA,Nordeste,1,3
2103158,MA,Nordeste,1,2
2103174,MA,Nordeste,1,2
2103208,MA,Nordeste,1,3
2103257,MA,Nordeste,1,3
2103307,MA,Nordeste,1,3
2103406,MA,Nordeste,1,3
2103505,MA,Nordeste,1,3
2103554,MA,Nordeste,1,2
2103604,MA,Nordeste,1,3
2103703,MA,Nordeste,1,3
2103752,MA,Nordeste,1,3
2103802,MA,Nordeste,1,3
2103901,MA,Nordeste,1,3
2104008,MA,Nordeste,1,3
2104057,MA,Nordeste,0,0
2104073,MA,Nordeste,1,3
2104081,MA,Nordeste,1,2
2104099,MA,Nordeste,1,3
2104107,MA,Nordeste,1,2
2104206,MA,Nordeste,1,3
2104305,MA,Nordeste,1,3
2104404,MA,Nordeste,1,3
2104503,MA,Nordeste,1,2
2104552,MA,Nordeste,1,3
2104602,MA,Nordeste,1,3
2104628,MA,Nordeste,1,3
2104651,MA,Nordeste,1,2
2104677,MA,Nordeste,1,3
2104701,MA,Nordeste,1,3
2104800,MA,Nordeste,1,3
2104909,MA,Nordeste,1,3
2105005,MA,Nordeste,1,2
2105104,MA,Nordeste,1,2
2105153,MA,Nordeste,1,2
2105203,MA,Nordeste,1,3
2105302,MA,Nordeste,0,1
2105351,MA,Nordeste,1,2
2105401,MA,Nordeste,1,3
2105427,MA,Nordeste,1,3
2105450,MA,Nordeste,1,3
2105476,MA,Nordeste,1,2
2105500,MA,Nordeste,1,3
2105609,MA,Nordeste,1,3
2105658,MA,Nordeste,1,3
2105708,MA,Nordeste,1,3
2105807,MA,Nordeste,1,3
2105906,MA,Nordeste,1,2
2105922,MA,Nordeste,1,3
2105948,MA,Nordeste,1,3
2105963,MA,Nordeste,1,3
2105989,MA,Nordeste,1,3
